original_file,new_file,canonical_file,asset_type,module_id,sequence,side,group,width,height,notes
遊戲底圖/遊戲底圖 (1).png,knarr_ui_background_001.png,ui_assets/knarr_ui_background_001.png,ui,core,1,none,background,1672,941,遊戲 UI 底圖/背景素材。
遊戲底圖/遊戲底圖 (2).png,knarr_ui_background_002.png,ui_assets/knarr_ui_background_002.png,ui,core,2,none,background,1672,941,遊戲 UI 底圖/背景素材。
遊戲底圖/遊戲底圖 (3).png,knarr_ui_background_003.png,ui_assets/knarr_ui_background_003.png,ui,core,3,none,background,1672,941,遊戲 UI 底圖/背景素材。
遊戲底圖/遊戲底圖 (4).png,knarr_ui_background_004.png,ui_assets/knarr_ui_background_004.png,ui,core,4,none,background,1672,941,遊戲 UI 底圖/背景素材。
遊戲底圖/遊戲底圖 (5).png,knarr_ui_background_005.png,ui_assets/knarr_ui_background_005.png,ui,core,5,none,background,1672,941,遊戲 UI 底圖/背景素材。
